epoch, loss(train_no_dev), loss(dev)
1,0.9823305143250359,0.8782685995101929
2,0.9383140537473891,0.8541101813316345
3,0.9210288822650909,0.8397272825241089
4,0.908403969473309,0.83428955078125
5,0.9032104048464034,0.8291859030723572
6,0.900536749098036,0.8289494514465332
7,0.8949492375055949,0.8344715237617493
8,0.8935358987914191,0.8270426392555237
9,0.8905653026368883,0.8243938088417053
10,0.8839764959282346,0.8242413401603699
11,0.8854742977354262,0.8274033665657043
12,0.8803446425331963,0.8213497400283813
13,0.8796672821044922,0.8220849633216858
14,0.8780745102299584,0.8294423222541809
15,0.8783790402942233,0.8235094547271729
16,0.872272617287106,0.8211677074432373
17,0.8746754924456278,0.8294053077697754
18,0.8729833298259311,0.8196658492088318
19,0.8699358767933316,0.8191218972206116
20,0.8672236270374722,0.8210136294364929
21,0.8657547500398424,0.8204025030136108
22,0.8632908761501312,0.8184537887573242
23,0.861109283235338,0.8233500719070435
24,0.8591157495975494,0.8174178600311279
25,0.8619589176442888,0.8186994194984436
26,0.8596078587902917,0.819080650806427
27,0.8617607918050554,0.8188931345939636
28,0.8586054609881507,0.8183058500289917
29,0.8565961718559265,0.8209155797958374
30,0.8562317887941996,0.8186829686164856
31,0.8562353253364563,0.8205634355545044
32,0.8562139802508884,0.8204073309898376
33,0.8547022110886044,0.8201342821121216
34,0.8617493940724267,0.8234219551086426
35,0.8608971536159515,0.8163242936134338
36,0.8587413231531779,0.8198075890541077
37,0.8550447026888529,0.8173840045928955
38,0.8493946327103509,0.8219302296638489
39,0.8522666891415914,0.819098711013794
40,0.8479033907254537,0.8212303519248962
41,0.8500129514270358,0.8174735307693481
42,0.8477898902363248,0.8197489380836487
43,0.8457836740546756,0.8179460763931274
44,0.843726376692454,0.8161974549293518
45,0.8446580701404147,0.8181164264678955
46,0.8442695306407081,0.8218830823898315
47,0.8463151918517219,0.820278525352478
48,0.8421458370155759,0.8177859783172607
49,0.8436119556427002,0.8192405700683594
50,0.8425230748123593,0.8215741515159607
51,0.8454516695605384,0.8198656439781189
52,0.8407858279016283,0.8174018263816833
53,0.8429101142618391,0.8194345235824585
54,0.8396529389752282,0.8170503377914429
55,0.8382149636745453,0.8236393928527832
56,0.8425227668550279,0.8196058869361877
57,0.8389614390002357,0.8243870735168457
58,0.8447381887171004,0.821664571762085
59,0.838666127787696,0.8215123414993286
60,0.8397189246283637,0.8188942074775696
61,0.8362243307961358,0.8213568925857544
62,0.8375263975726234,0.8183726668357849
63,0.8366183473004235,0.8186652064323425
64,0.834705995188819,0.8189778327941895
65,0.835796571440167,0.8195945024490356
66,0.8362441658973694,0.817605197429657
67,0.838033957613839,0.8211139440536499
68,0.8325603339407179,0.8193210363388062
69,0.8348509867986044,0.8185256123542786
70,0.8361393047703637,0.8191108107566833
71,0.8340377377139198,0.8205606341362
72,0.8330570658047994,0.8213476538658142
73,0.8332522047890557,0.820483386516571
74,0.8315355612172021,0.8210421800613403
75,0.833705421951082,0.8193936944007874
76,0.8312293026182387,0.8211945295333862
77,0.8333287371529473,0.8217689990997314
78,0.8353684875700209,0.8206425905227661
79,0.8316460251808167,0.8213662505149841
80,0.8300641477108002,0.8215107321739197
81,0.8328961928685507,0.8219781517982483
82,0.8324427571561601,0.8213043808937073
83,0.8309918675157759,0.8220655918121338
84,0.8308380908436246,0.8215427398681641
85,0.8319910996490054,0.821551501750946
86,0.8342432214154137,0.8223056793212891
87,0.8320177363024818,0.8216108679771423
88,0.8295391566223569,0.8218575119972229
89,0.8289099335670471,0.8215317726135254
90,0.8286224669880338,0.8231406807899475
91,0.8299763666258918,0.8218530416488647
92,0.8323280016581217,0.8223677277565002
93,0.826447970337338,0.8216811418533325
94,0.8318385183811188,0.8230619430541992
95,0.8273184332582686,0.823257565498352
96,0.824529293510649,0.8229426145553589
97,0.8323987623055776,0.8229629397392273
98,0.8307308852672577,0.822455108165741
99,0.8282608356740739,0.8239153623580933
100,0.8285143938329484,0.8224625587463379